created on: Tue Feb 20 01:16:55 2018

dir	fecha	indicativo	nombre	prec	presMax	presMin	provincia	racha	sol	tmax	tmed	tmin	velmedia
30.0	2015-01-24	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1020.4	1017.2	ALICANTE	12.8	8.6	16.8	11.3	5.8	2.8
30.0	2015-01-25	8025	ALICANTE/ALACANT	0.0	1015.9	1009.8	ALICANTE	12.5	9.6	19.6	12.3	5.0	1.9
31.0	2015-01-25	7247X	PINOSO 	0.0			ALICANTE	9.4		13.3	5.8	-1.6	2.8
30.0	2015-01-25	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1022.0	1015.3	ALICANTE	20.6	9.5	19.2	13.2	7.3	2.8
14.0	2015-01-26	8025	ALICANTE/ALACANT	0.0	1017.7	1015.3	ALICANTE	5.8	9.4	16.8	10.6	4.5	1.4
99.0	2015-01-26	7247X	PINOSO 	0.0			ALICANTE	4.4		13.8	5.0	-3.7	0.8
25.0	2015-01-26	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1024.0	1021.4	ALICANTE	8.3	9.0	16.9	11.4	5.8	1.9
28.0	2015-01-27	8025	ALICANTE/ALACANT	0.0	1017.6	1011.1	ALICANTE	5.8	9.4	18.9	11.4	3.8	1.9
33.0	2015-01-27	7247X	PINOSO 	0.0			ALICANTE	12.5		13.8	5.6	-2.5	1.4
26.0	2015-01-27	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1023.8	1017.3	ALICANTE	9.2	8.3	18.9	11.6	4.3	2.8
18.0	2015-01-28	8025	ALICANTE/ALACANT	0.0	1014.6	1010.3	ALICANTE	6.7	9.7	17.5	11.4	5.4	1.9
27.0	2015-01-28	7247X	PINOSO 	0.0			ALICANTE	6.9		16.2	8.4	0.5	1.7
31.0	2015-01-28	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1021.0	1016.4	ALICANTE	9.2	9.5	17.2	11.7	6.2	2.5
28.0	2015-01-29	8025	ALICANTE/ALACANT	0.0	1010.3	994.5	ALICANTE	11.1	8.2	21.5	13.5	5.5	3.3
24.0	2015-01-29	7247X	PINOSO 	0.0			ALICANTE	15.3		17.6	11.6	5.7	2.2
29.0	2015-01-29	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1016.6	1001.3	ALICANTE	15.0	7.5	21.3	13.7	6.1	7.5
22.0	2015-01-30	8025	ALICANTE/ALACANT	0.0	994.5	983.2	ALICANTE	14.4	6.8	23.5	19.6	15.8	4.2
26.0	2015-01-30	7247X	PINOSO 	0.0			ALICANTE	20.8		18.1	14.2	10.4	6.9
27.0	2015-01-30	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1001.3	988.9	ALICANTE	21.7	3.9	23.8	19.4	15.0	6.7
24.0	2015-01-31	8025	ALICANTE/ALACANT	2.4	996.2	980.1	ALICANTE	19.7	6.8	20.2	14.9	9.6	5.0
32.0	2015-01-31	7247X	PINOSO 	7.8			ALICANTE	23.6		14.3	9.3	4.3	4.7
29.0	2015-01-31	8019	ALICANTE-ELCHE AEROPUERTO	4.0	1002.5	986.3	ALICANTE	24.2	6.5	21.3	15.5	9.7	10.3
99.0	2015-02-01	8025	ALICANTE/ALACANT	0.0	1006.3	996.1	ALICANTE	16.7	9.7	12.9	10.2	7.6	4.7
31.0	2015-02-01	7247X	PINOSO 	0.0			ALICANTE	15.8		8.8	5.6	2.4	5.0
99.0	2015-02-01	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1012.6	1002.5	ALICANTE	27.2	9.7	13.6	9.7	5.8	10.3
28.0	2015-02-02	8025	ALICANTE/ALACANT	1.8	1006.2	995.5	ALICANTE	10.0	5.4	15.6	11.8	8.0	2.8
29.0	2015-02-02	7247X	PINOSO 	1.0			ALICANTE	9.7		11.1	5.7	0.3	2.5
26.0	2015-02-02	8019	ALICANTE-ELCHE AEROPUERTO		1012.5	1001.5	ALICANTE	11.4	3.5	15.1	10.6	6.2	5.6
30.0	2015-02-03	8025	ALICANTE/ALACANT	0.0	995.5	988.6	ALICANTE	15.8	7.6	16.9	12.6	8.3	3.6
30.0	2015-02-03	7247X	PINOSO 	0.9			ALICANTE	17.2		12.6	8.1	3.6	4.4
99.0	2015-02-03	8019	ALICANTE-ELCHE AEROPUERTO	0.1	1001.5	994.7	ALICANTE	18.6	7.6	17.8	12.9	8.0	6.4
32.0	2015-02-04	8025	ALICANTE/ALACANT	0.0	996.5	987.2	ALICANTE	13.3	7.4	12.0	8.4	4.8	4.2
35.0	2015-02-04	7247X	PINOSO 	0.2			ALICANTE	16.4		6.7	3.4	0.0	3.9
29.0	2015-02-04	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1002.8	993.2	ALICANTE	19.7	5.2	12.0	8.6	5.1	8.9
26.0	2015-02-05	8025	ALICANTE/ALACANT	0.0	1002.3	993.9	ALICANTE	12.8	8.5	13.2	8.4	3.7	2.8
30.0	2015-02-05	7247X	PINOSO 	0.0			ALICANTE	16.7		7.1	3.1	-0.9	3.9
29.0	2015-02-05	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1008.8	1000.2	ALICANTE	18.9	8.2	12.6	8.6	4.6	9.4
32.0	2015-02-06	8025	ALICANTE/ALACANT	0.0	1004.8	1000.5	ALICANTE	12.8	7.1	12.1	7.4	2.6	2.8
29.0	2015-02-06	7247X	PINOSO 	0.0			ALICANTE	13.9		8.1	2.2	-3.7	3.3
26.0	2015-02-06	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1011.1	1006.7	ALICANTE	16.4	5.9	12.8	7.8	2.8	6.1
16.0	2015-02-07	8025	ALICANTE/ALACANT	0.0	1012.7	1004.8	ALICANTE	5.6	4.3	11.6	6.5	1.4	1.1
24.0	2015-02-07	7247X	PINOSO 	0.0			ALICANTE	4.7		6.9	0.8	-5.4	0.6
30.0	2015-02-07	8019	ALICANTE-ELCHE AEROPUERTO		1018.8	1011.0	ALICANTE	7.8	0.9	12.4	7.2	1.9	2.5
18.0	2015-02-08	8025	ALICANTE/ALACANT	0.0	1013.3	1009.1	ALICANTE	7.8	9.8	14.4	8.0	1.6	1.9
22.0	2015-02-08	7247X	PINOSO 	0.0			ALICANTE	5.8		9.5	2.6	-4.3	1.4
23.0	2015-02-08	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1019.7	1015.5	ALICANTE	8.3	9.7	14.1	8.2	2.3	3.6
7.0	2015-02-09	8025	ALICANTE/ALACANT	0.4	1016.3	1009.9	ALICANTE	11.4	2.8	13.2	7.4	1.7	3.3
9.0	2015-02-09	7247X	PINOSO 	3.4			ALICANTE	11.1		8.9	1.9	-5.1	3.1
99.0	2015-02-09	8019	ALICANTE-ELCHE AEROPUERTO	6.9	1022.5	1016.1	ALICANTE	15.3	3.1	14.2	7.9	1.6	6.4
5.0	2015-02-10	8025	ALICANTE/ALACANT	0.2	1015.9	1012.7	ALICANTE	10.8	1.6	13.3	10.0	6.6	3.1
10.0	2015-02-10	7247X	PINOSO 	0.9			ALICANTE	8.6		8.0	3.8	-0.5	1.4
99.0	2015-02-10	8019	ALICANTE-ELCHE AEROPUERTO	0.3	1022.0	1018.8	ALICANTE	11.4	0.2	13.8	11.2	8.7	5.8
8.0	2015-02-11	8025	ALICANTE/ALACANT	0.0	1012.8	1009.7	ALICANTE	11.1	7.6	16.2	12.2	8.1	2.8
99.0	2015-02-11	7247X	PINOSO 	0.0			ALICANTE	6.4		13.1	7.6	2.1	1.9
7.0	2015-02-11	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1018.8	1015.7	ALICANTE	12.5	5.7	15.7	12.9	10.1	5.6
24.0	2015-02-12	8025	ALICANTE/ALACANT	0.4	1013.2	1008.6	ALICANTE	4.7	0.0	13.0	10.6	8.1	0.8
33.0	2015-02-12	7247X	PINOSO 	7.4			ALICANTE	5.3		5.3	4.4	3.6	0.8
8.0	2015-02-12	8019	ALICANTE-ELCHE AEROPUERTO	0.5	1019.6	1014.7	ALICANTE	11.4	0.0	13.4	11.4	9.3	2.8
2.0	2015-02-13	8025	ALICANTE/ALACANT	0.0	1013.0	1010.3	ALICANTE	6.7	8.8	19.4	12.9	6.4	1.4
28.0	2015-02-13	7247X	PINOSO 	0.0			ALICANTE	7.8		13.3	7.0	0.6	1.4
26.0	2015-02-13	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1019.4	1016.3	ALICANTE	12.8	8.2	19.2	12.4	5.6	4.4
